UID,Suburb,Supermarket,apple,orange,avo,straw,broc,onion,potato,tomato,beef,chick,lamb,pork,bread,milk,egg,butt,oj
20371,Glebe,Coles,4.9,3,2.5,6,5.9,2.9,4,14,24,12,12,,0.52,1.2,0.63,1.48,4.6
20372,Broadway,Woolworths,4.9,3.4,2,6,5.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
20931,Balgowlah,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
20932,Clontarf,Coles,3.5,3.9,2.5,7.2,2.9,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
21011,Elanora Heights,Coles,3.5,3.9,2.5,7.2,2.9,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
21012,Narambeen,Woolworths,4.9,3.4,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
21971,Bass Hill,Coles,4.9,3,2.5,6,5.9,2.9,3.5,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
21972,Bass Hill,Woolworths,4.9,3.4,2,6,5.5,2.9,3.5,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
22121,Revesby,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
22122,Revesby Heights,Coles,3.5,3.9,2.5,7.2,2.9,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
24711,Lismore Central,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,,0.52,1.2,0.63,1.48,4.8
24712,Casino,Coles,5.5,3.9,2.5,7.2,5.9,2.9,4,14,24,12,10,7.5,0.52,1.2,0.63,1.48,4.6
25331,Bateman's Bay,Coles,3.5,3,2.5,6,5.9,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
25332,Kiama,Woolworths,4.9,3.4,2,6,5.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
26181,Hall,Coles,3.5,3.9,2.5,7.2,2.9,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
26182,Belconnen,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,3.5,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
32781,Warrnambool East,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
32782,Warrnambool North,Coles,5.5,3,2.5,8,5.9,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
33381,Woodgrove,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
33382,Eynesbury,Coles,5.5,3,2.5,8,5.9,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
37011,Thurgoona,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
37012,Myrtleford,Coles,5.5,3,2.5,8,5.9,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
37861,Belgrave,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
37862,Ferny Creek,Coles,5.5,3,2.5,8,5.9,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
37921,Monbulk,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
37922,The Patch,Coles,5.5,3,2.5,8,5.9,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
40341,Aspley,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
40342,Geebung,Coles,5.5,3.9,2.5,7.2,5.9,2.9,4,14,24,12,10,7.5,0.52,1.2,0.63,1.48,4.6
43881,Goondiwindi,Coles,3.9,3.9,1.8,7.2,2.4,2,4,8,24,12,10,7.5,0.52,1.2,0.63,1.48,4.6
43882,Stanthorpe,Woolworths,4.9,3.4,2,6,5.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
45121,Woodford,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
45122,Wamuran Basin,Coles,5.5,3.9,2.5,7.2,5.9,2.9,4,14,24,12,10,7.5,0.52,1.2,0.63,1.48,4.6
50121,Kilkenny,Woolworths,,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
50122,Woodville,Coles,4.5,3.9,1.8,7.2,2.2,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
50231,Findon,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
50232,West Beach,Coles,4.5,3.9,1.8,7.2,2.2,2.9,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
61071,Cannington,Woolworths,4.9,3.9,2.2,6.8,3.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
61072,Kenwick,Coles,4.5,3,2.5,7.2,4.9,2.9,4,12,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
66271,Geraldton,Coles,4.9,3.5,2,7.2,4.9,1,4,14,24,12,12,7.5,0.52,1.2,0.63,1.48,4.6
66272,Seacrest,Woolworths,4.9,3.4,2,6,5.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
70261,Campania,Coles,3.5,3,1.9,7.2,5.9,2.9,2.48,12,20,12,13,7.5,0.52,1.2,0.63,1.48,4.6
70262,Howrah,Woolworths,4.9,3.4,2,6,5.5,2.9,4,14,24,12,13,7.5,0.52,1.2,0.63,1.48,4.8
TEST1,Fitzroy,Woolworths,4.5,3.4,2,6,5.5,2.9,4,10,24,12,13,8.5,0.52,1.2,0.63,1.48,4.8
TEST2,Fitzroy,Coles,4.5,3.9,2.5,7.2,5.9,2.9,4,14,24,12,12,8.5,0.52,1.2,0.63,1.48,4.6